2015-01-21 09:54:03.801|MSG01|Starting service VHT_OperationModeServer on JUBILEE...|1|6
2015-01-21 09:54:03.918|MSG01|... Service VHT_OperationModeServer started on JUBILEE|1|6
2015-01-21 09:54:09.141|MSG05|Process VHT_OperationModeService.exe (PID 7912) RUNNING on JUBILEE|1|6
2015-01-21 09:54:09.142|MSG05|Service VHT_OperationModeServer RUNNING on JUBILEE. State Running|1|6
2015-01-21 09:54:09.143|MSG05|Program.IsRunning: Service 'OpModeService' on Server JUBILEE is Started|1|6
2015-01-21 09:54:09.143|MSG01|>>> Step.Execute: Step: Operation Start, Target 'ReportWriterService', Index '000005.0000'|1|6
2015-01-21 09:54:09.143|MSG04|>>> STARTING 'ReportWriterService'|1|6
2015-01-21 09:54:09.312|MSG01|WARNING: Service VHT_ReportWriter NOT RUNNING on JUBILEE|1|6
2015-01-21 09:54:09.313|MSG05|Program.IsRunning: Service 'ReportWriterService' on Server JUBILEE is Stopped|1|6
2015-01-21 09:54:09.313|MSG05|Program.Start: Starting Service 'ReportWriterService' on server JUBILEE, attempt 1|1|6
2015-01-21 09:54:09.313|MSG01|Stopping VHT_ReportWriter on JUBILEE...|1|6
2015-01-21 09:54:09.342|MSG01|... Service VHT_ReportWriter stopping in progress on JUBILEE|1|6
2015-01-21 09:54:09.342|MSG01|Starting service VHT_ReportWriter on JUBILEE...|1|6
2015-01-21 09:54:09.461|MSG01|... Service VHT_ReportWriter started on JUBILEE|1|6
2015-01-21 09:54:14.685|MSG05|Process VHT_ReportWriter.exe (PID 9568) RUNNING on JUBILEE|1|6
2015-01-21 09:54:14.686|MSG05|Service VHT_ReportWriter RUNNING on JUBILEE. State Running|1|6
2015-01-21 09:54:14.687|MSG05|Program.IsRunning: Service 'ReportWriterService' on Server JUBILEE is Started|1|6
2015-01-21 09:54:14.687|MSG01|>>> Step.Execute: Step: Operation Start, Target 'QueueManager', Index '000006.0000'|1|6
2015-01-21 09:54:14.687|MSG04|>>> STARTING 'QueueManager'|1|6
2015-01-21 09:54:14.854|MSG01|WARNING: Service VHT_QueueManager NOT RUNNING on JUBILEE|1|6
2015-01-21 09:54:14.854|MSG05|Program.IsRunning: Service 'QueueManager' on Server JUBILEE is Stopped|1|6
2015-01-21 09:54:14.854|MSG05|Program.Start: Starting Service 'QueueManager' on server JUBILEE, attempt 1|1|6
2015-01-21 09:54:14.854|MSG01|Stopping VHT_QueueManager on JUBILEE...|1|6
2015-01-21 09:54:14.884|MSG01|... Service VHT_QueueManager stopping in progress on JUBILEE|1|6
2015-01-21 09:54:14.884|MSG01|Starting service VHT_QueueManager on JUBILEE...|1|6
2015-01-21 09:54:15.237|MSG01|... Service VHT_QueueManager started on JUBILEE|1|6
2015-01-21 09:54:35.469|MSG05|Process VHT_QueueManager_Service.exe (PID 9828) RUNNING on JUBILEE|1|6
2015-01-21 09:54:35.470|MSG05|Service VHT_QueueManager RUNNING on JUBILEE. State Running|1|6
2015-01-21 09:54:35.471|MSG05|Program.IsRunning: Service 'QueueManager' on Server JUBILEE is Started|1|6
2015-01-21 09:54:35.471|MSG01|>>> Step.Execute: Step: Operation Start, Target 'IVR', Index '000007.0000'|1|6
2015-01-21 09:54:35.471|MSG04|>>> STARTING 'IVR'|1|6
2015-01-21 09:54:35.645|MSG01|WARNING: Service VHT_GlobalCall_IVR NOT RUNNING on JUBILEE|1|6
2015-01-21 09:54:35.645|MSG05|Program.IsRunning: Service 'IVR' on Server JUBILEE is Stopped|1|6
2015-01-21 09:54:35.645|MSG05|Program.Start: Starting Service 'IVR' on server JUBILEE, attempt 1|1|6
2015-01-21 09:54:35.646|MSG01|Stopping VHT_GlobalCall_IVR on JUBILEE...|1|6
2015-01-21 09:54:35.677|MSG01|... Service VHT_GlobalCall_IVR stopping in progress on JUBILEE|1|6
2015-01-21 09:54:35.677|MSG01|Starting service VHT_GlobalCall_IVR on JUBILEE...|1|6
2015-01-21 09:54:37.853|MSG01|... Service VHT_GlobalCall_IVR started on JUBILEE|1|6
2015-01-21 09:54:58.073|MSG05|Process VHT_GlobalCall_IVR_Service.exe (PID 8052) RUNNING on JUBILEE|1|6
2015-01-21 09:54:58.074|MSG05|Service VHT_GlobalCall_IVR RUNNING on JUBILEE. State Running|1|6
2015-01-21 09:54:58.074|MSG05|Program.IsRunning: Service 'IVR' on Server JUBILEE is Started|1|6
2015-01-21 09:54:58.074|MSG01|>>> Step.Execute: Step: Operation Start, Target 'QWatchClient', Index '000008.0000'|1|6
2015-01-21 09:54:58.074|MSG04|>>> STARTING 'QWatchClient'|1|6
2015-01-21 09:54:58.239|MSG01|WARNING: Service VHT_QWatch_Client NOT RUNNING on JUBILEE|1|6
2015-01-21 09:54:58.240|MSG05|Program.IsRunning: Service 'QWatchClient' on Server JUBILEE is Stopped|1|6
2015-01-21 09:54:58.240|MSG05|Program.Start: Starting Service 'QWatchClient' on server JUBILEE, attempt 1|1|6
2015-01-21 09:54:58.240|MSG01|Stopping VHT_QWatch_Client on JUBILEE...|1|6
2015-01-21 09:54:58.269|MSG01|... Service VHT_QWatch_Client stopping in progress on JUBILEE|1|6
2015-01-21 09:54:58.269|MSG01|Starting service VHT_QWatch_Client on JUBILEE...|1|6
2015-01-21 09:54:58.674|MSG01|... Service VHT_QWatch_Client started on JUBILEE|1|6
2015-01-21 09:55:03.942|MSG05|Process VHT_QWatch_Client_Service.exe (PID 8560) RUNNING on JUBILEE|1|6
2015-01-21 09:55:03.943|MSG05|Service VHT_QWatch_Client RUNNING on JUBILEE. State Running|1|6
2015-01-21 09:55:03.944|MSG05|Program.IsRunning: Service 'QWatchClient' on Server JUBILEE is Started|1|6
2015-01-21 09:55:03.944|MSG01|>>> Step.Execute: Step: Operation Message, Target 'Start Completed', Index '000009.0000'|1|6
2015-01-21 09:55:03.944|MSG04|>>> SENDING MESSAGE 'Start Completed'|1|6
2015-01-21 09:55:03.944|MSG01|END Sequence.Execute: 'Start'|1|6
2015-01-21 09:55:04.267|MSG05|*** VHT_SENSe Version 7.6.10.2943 STARTUP COMPLETED ***|1|6
2015-01-21 09:55:04.319|MSG05|Process VHT_QWatch_Client_Service.exe (PID 8560) RUNNING on JUBILEE|4|9
2015-01-21 09:55:04.319|MSG05|Service VHT_QWatch_Client RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:55:04.320|MSG05|Program.IsRunning: Service 'QWatchClient' on Server JUBILEE is Started|4|9
2015-01-21 09:55:04.577|MSG05|Process VHT_GlobalCall_IVR_Service.exe (PID 8052) RUNNING on JUBILEE|4|9
2015-01-21 09:55:04.578|MSG05|Service VHT_GlobalCall_IVR RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:55:04.578|MSG05|Program.IsRunning: Service 'IVR' on Server JUBILEE is Started|4|9
2015-01-21 09:55:04.797|MSG05|Process VHT_Provider_Service.exe (PID 11236) RUNNING on JUBILEE|4|9
2015-01-21 09:55:04.798|MSG05|Service VHT_Provider RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:55:04.798|MSG05|Program.IsRunning: Service 'ProviderService' on Server JUBILEE is Started|4|9
2015-01-21 09:55:05.017|MSG05|Process VHT_OperationModeService.exe (PID 7912) RUNNING on JUBILEE|4|9
2015-01-21 09:55:05.018|MSG05|Service VHT_OperationModeServer RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:55:05.018|MSG05|Program.IsRunning: Service 'OpModeService' on Server JUBILEE is Started|4|9
2015-01-21 09:55:05.237|MSG05|Process VHT_Message_Bus.exe (PID 6540) RUNNING on JUBILEE|4|9
2015-01-21 09:55:05.238|MSG05|Service VHT_Message_Bus RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:55:05.238|MSG05|Program.IsRunning: Service 'MessageBus' on Server JUBILEE is Started|4|9
2015-01-21 09:55:05.454|MSG05|Process VHT_QueueManager_Service.exe (PID 9828) RUNNING on JUBILEE|4|9
2015-01-21 09:55:05.455|MSG05|Service VHT_QueueManager RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:55:05.455|MSG05|Program.IsRunning: Service 'QueueManager' on Server JUBILEE is Started|4|9
2015-01-21 09:55:05.671|MSG05|Process VHT_ReportWriter.exe (PID 9568) RUNNING on JUBILEE|4|9
2015-01-21 09:55:05.672|MSG05|Service VHT_ReportWriter RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:55:05.672|MSG05|Program.IsRunning: Service 'ReportWriterService' on Server JUBILEE is Started|4|9
2015-01-21 09:55:05.672|MSG01|ProgramMonitorThread started for JUBILEE|4|9
2015-01-21 09:55:05.672|MSG05|ProgramMonitorThread polling programs running on JUBILEE|4|9
2015-01-21 09:55:05.893|MSG05|Process VHT_QWatch_Client_Service.exe (PID 8560) RUNNING on JUBILEE|4|9
2015-01-21 09:55:05.894|MSG05|Service VHT_QWatch_Client RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:55:06.113|MSG05|Process VHT_GlobalCall_IVR_Service.exe (PID 8052) RUNNING on JUBILEE|4|9
2015-01-21 09:55:06.114|MSG05|Service VHT_GlobalCall_IVR RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:55:06.168|MSG01|ERROR: GetLogicalMemory exception. Input string was not in a correct format.|3|8
2015-01-21 09:55:06.337|MSG05|Process VHT_Provider_Service.exe (PID 11236) RUNNING on JUBILEE|4|9
2015-01-21 09:55:06.337|MSG05|Service VHT_Provider RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:55:06.583|MSG05|Process VHT_OperationModeService.exe (PID 7912) RUNNING on JUBILEE|4|9
2015-01-21 09:55:06.584|MSG05|Service VHT_OperationModeServer RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:55:06.823|MSG05|Process VHT_Message_Bus.exe (PID 6540) RUNNING on JUBILEE|4|9
2015-01-21 09:55:06.824|MSG05|Service VHT_Message_Bus RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:55:07.044|MSG05|Process VHT_QueueManager_Service.exe (PID 9828) RUNNING on JUBILEE|4|9
2015-01-21 09:55:07.045|MSG05|Service VHT_QueueManager RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:55:07.262|MSG05|Process VHT_ReportWriter.exe (PID 9568) RUNNING on JUBILEE|4|9
2015-01-21 09:55:07.263|MSG05|Service VHT_ReportWriter RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:55:08.193|MSG01|ComputerMonitorThread started for JUBILEE|3|8
2015-01-21 09:55:08.193|MSG05|ComputerMonitorThread polling for JUBILEE|3|8
2015-01-21 09:56:07.266|MSG05|ProgramMonitorThread polling programs running on JUBILEE|4|9
2015-01-21 09:56:07.492|MSG05|Process VHT_QWatch_Client_Service.exe (PID 8560) RUNNING on JUBILEE|4|9
2015-01-21 09:56:07.492|MSG05|Service VHT_QWatch_Client RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:56:07.755|MSG05|Process VHT_GlobalCall_IVR_Service.exe (PID 8052) RUNNING on JUBILEE|4|9
2015-01-21 09:56:07.756|MSG05|Service VHT_GlobalCall_IVR RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:56:07.968|MSG05|Process VHT_Provider_Service.exe (PID 11236) RUNNING on JUBILEE|4|9
2015-01-21 09:56:07.969|MSG05|Service VHT_Provider RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:56:08.178|MSG05|Process VHT_OperationModeService.exe (PID 7912) RUNNING on JUBILEE|4|9
2015-01-21 09:56:08.179|MSG05|Service VHT_OperationModeServer RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:56:08.390|MSG05|Process VHT_Message_Bus.exe (PID 6540) RUNNING on JUBILEE|4|9
2015-01-21 09:56:08.391|MSG05|Service VHT_Message_Bus RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:56:08.602|MSG05|Process VHT_QueueManager_Service.exe (PID 9828) RUNNING on JUBILEE|4|9
2015-01-21 09:56:08.602|MSG05|Service VHT_QueueManager RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:56:08.815|MSG05|Process VHT_ReportWriter.exe (PID 9568) RUNNING on JUBILEE|4|9
2015-01-21 09:56:08.816|MSG05|Service VHT_ReportWriter RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:57:08.820|MSG05|ProgramMonitorThread polling programs running on JUBILEE|4|9
2015-01-21 09:57:09.047|MSG05|Process VHT_QWatch_Client_Service.exe (PID 8560) RUNNING on JUBILEE|4|9
2015-01-21 09:57:09.048|MSG05|Service VHT_QWatch_Client RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:57:09.280|MSG05|Process VHT_GlobalCall_IVR_Service.exe (PID 8052) RUNNING on JUBILEE|4|9
2015-01-21 09:57:09.281|MSG05|Service VHT_GlobalCall_IVR RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:57:09.506|MSG05|Process VHT_Provider_Service.exe (PID 11236) RUNNING on JUBILEE|4|9
2015-01-21 09:57:09.507|MSG05|Service VHT_Provider RUNNING on JUBILEE. State Running|4|9
2015-01-21 09:57:09.733|MSG05|Process VHT_OperationModeService.exe (PID 7912) RUNNING on JUBILEE|4|9
2015-01-21 09:57:09.734|MSG05|Service VHT_OperationModeServer RUNNING on JUBILEE. State Running|4|9
